"Pattern","Cohort","r","var","span","sex"
"A",1925,0.59154310558504,"SMOKEEV",0.5,"f"
"L",1925,0.66495197084164,"SMOKEEV",0.5,"f"
"M",1925,0.319408052811918,"SMOKEEV",0.5,"f"
"T",1905,0.238223442312632,"SMOKEEV",0.5,"m"
"A",1905,0.834126098900174,"SMOKEEV",0.5,"m"
"L",1905,0.912797828779464,"SMOKEEV",0.5,"m"
"M",1905,0.498285477269546,"SMOKEEV",0.5,"m"
"T",1910,0.421756878925133,"SMOKEEV",0.5,"m"
"A",1910,0.617973593162039,"SMOKEEV",0.5,"m"
"L",1910,0.883616594542506,"SMOKEEV",0.5,"m"
"M",1910,0.263093133027832,"SMOKEEV",0.5,"m"
"T",1915,0.447637907337534,"SMOKEEV",0.5,"m"
"A",1915,0.592322555664062,"SMOKEEV",0.5,"m"
"L",1915,0.874266687885133,"SMOKEEV",0.5,"m"
"M",1915,0.231766510636919,"SMOKEEV",0.5,"m"
"T",1920,0.300887989013913,"SMOKEEV",0.5,"m"
"A",1920,0.669829737115695,"SMOKEEV",0.5,"m"
"L",1920,0.885944495342192,"SMOKEEV",0.5,"m"
"M",1920,0.318305585384717,"SMOKEEV",0.5,"m"
"T",1925,0.402105701202025,"SMOKEEV",0.5,"m"
"A",1925,0.597564009078788,"SMOKEEV",0.5,"m"
"L",1925,0.960734284553424,"SMOKEEV",0.5,"m"
"M",1925,0.144493917241139,"SMOKEEV",0.5,"m"
"T",1905,0.112793163127387,"SMOKECUR",0.5,"f"
"A",1905,0.861387468382055,"SMOKECUR",0.5,"f"
"L",1905,0.857122194589653,"SMOKECUR",0.5,"f"
"M",1905,0.584766834278434,"SMOKECUR",0.5,"f"
"T",1910,0.144741894581996,"SMOKECUR",0.5,"f"
"A",1910,0.92463590935071,"SMOKECUR",0.5,"f"
"L",1910,0.833470422257181,"SMOKECUR",0.5,"f"
"M",1910,0.75852162190402,"SMOKECUR",0.5,"f"
"T",1915,0.172659422114292,"SMOKECUR",0.5,"f"
"A",1915,0.890127785828596,"SMOKECUR",0.5,"f"
"L",1915,0.78137848167036,"SMOKECUR",0.5,"f"
"M",1915,0.745883863747149,"SMOKECUR",0.5,"f"
"T",1920,0.2524613544883,"SMOKECUR",0.5,"f"
"A",1920,0.899421696425814,"SMOKECUR",0.5,"f"
"L",1920,0.718089683919825,"SMOKECUR",0.5,"f"
"M",1920,0.75820715203289,"SMOKECUR",0.5,"f"
"T",1925,0.554593948131572,"SMOKECUR",0.5,"f"
"A",1925,0.937024257743007,"SMOKECUR",0.5,"f"
"L",1925,0.436130994311472,"SMOKECUR",0.5,"f"
"M",1925,0.886415912701247,"SMOKECUR",0.5,"f"
"T",1905,0.058577359832709,"SMOKECUR",0.5,"m"
"A",1905,0.975249981797377,"SMOKECUR",0.5,"m"
"L",1905,0.802446110927711,"SMOKECUR",0.5,"m"
"M",1905,0.730851580636964,"SMOKECUR",0.5,"m"
"T",1910,0.246557283399705,"SMOKECUR",0.5,"m"
"A",1910,0.850136485368995,"SMOKECUR",0.5,"m"
"L",1910,0.93548593371883,"SMOKECUR",0.5,"m"
"M",1910,0.428573566510225,"SMOKECUR",0.5,"m"
"T",1915,0.334237967289748,"SMOKECUR",0.5,"m"
"A",1915,0.70114795944528,"SMOKECUR",0.5,"m"
"L",1915,0.950810862661541,"SMOKECUR",0.5,"m"
"M",1915,0.316893369812928,"SMOKECUR",0.5,"m"
"T",1920,0.254269231368581,"SMOKECUR",0.5,"m"
"A",1920,0.676849784318924,"SMOKECUR",0.5,"m"
"L",1920,0.862760356709207,"SMOKECUR",0.5,"m"
"M",1920,0.338453190071714,"SMOKECUR",0.5,"m"
"T",1925,0.153167856558503,"SMOKECUR",0.5,"m"
"A",1925,0.672969016845924,"SMOKECUR",0.5,"m"
"L",1925,0.81130580862462,"SMOKECUR",0.5,"m"
"M",1925,0.32957836924844,"SMOKECUR",0.5,"m"
"T",1905,0.955009297638182,"CESDDEPR",0.5,"f"
"A",1905,0.14421403790663,"CESDDEPR",0.5,"f"
"L",1905,0.48161890898629,"CESDDEPR",0.5,"f"
"M",1905,0.611079920684507,"CESDDEPR",0.5,"f"
"T",1910,0.754456712409807,"CESDDEPR",0.5,"f"
"A",1910,0.0983676359955644,"CESDDEPR",0.5,"f"
"L",1910,0.376825906803194,"CESDDEPR",0.5,"f"
"M",1910,0.428290960342397,"CESDDEPR",0.5,"f"
"T",1915,0.540590928505213,"CESDDEPR",0.5,"f"
"A",1915,0.0317852645808683,"CESDDEPR",0.5,"f"
"L",1915,0.308705202659785,"CESDDEPR",0.5,"f"
"M",1915,0.277986615184051,"CESDDEPR",0.5,"f"
"T",1920,0.510439978278513,"CESDDEPR",0.5,"f"
"A",1920,0.211333908884156,"CESDDEPR",0.5,"f"
"L",1920,0.577960748514163,"CESDDEPR",0.5,"f"
"M",1920,0.108946386006881,"CESDDEPR",0.5,"f"
"T",1925,0.616406939054393,"CESDDEPR",0.5,"f"
"A",1925,0.266613758057665,"CESDDEPR",0.5,"f"
"L",1925,0.823334732646355,"CESDDEPR",0.5,"f"
"M",1925,0.178838945444182,"CESDDEPR",0.5,"f"
"T",1905,0.827828543700749,"CESDDEPR",0.5,"m"
"A",1905,0.236167727656298,"CESDDEPR",0.5,"m"
"L",1905,0.746511943558468,"CESDDEPR",0.5,"m"
"M",1905,0.259589834417602,"CESDDEPR",0.5,"m"
"T",1910,0.854762304315176,"CESDDEPR",0.5,"m"
"A",1910,0.0571287560991114,"CESDDEPR",0.5,"m"
"L",1910,0.5954996406804,"CESDDEPR",0.5,"m"
"M",1910,0.35935426068779,"CESDDEPR",0.5,"m"
"T",1915,0.804129028888653,"CESDDEPR",0.5,"m"
"A",1915,0.151841796516066,"CESDDEPR",0.5,"m"
"L",1915,0.6583213808575,"CESDDEPR",0.5,"m"
"M",1915,0.264815967915947,"CESDDEPR",0.5,"m"
"T",1920,0.844418436725589,"CESDDEPR",0.5,"m"
"A",1920,0.0810853708455976,"CESDDEPR",0.5,"m"
"L",1920,0.525423672247208,"CESDDEPR",0.5,"m"
"M",1920,0.482384652522953,"CESDDEPR",0.5,"m"
"T",1925,0.846001228837381,"CESDDEPR",0.5,"m"
"A",1925,0.306809379881455,"CESDDEPR",0.5,"m"
"L",1925,0.457274537382844,"CESDDEPR",0.5,"m"
"M",1925,0.660160854441577,"CESDDEPR",0.5,"m"
"T",1905,0.746223053840233,"CESDEFF",0.5,"f"
"A",1905,0.360594183935741,"CESDEFF",0.5,"f"
"L",1905,0.807483675337902,"CESDEFF",0.5,"f"
"M",1905,0.123534912696607,"CESDEFF",0.5,"f"
"T",1910,0.752028752793056,"CESDEFF",0.5,"f"
"A",1910,0.237903131628796,"CESDEFF",0.5,"f"
"L",1910,0.711567427337458,"CESDEFF",0.5,"f"
"M",1910,0.176048134198107,"CESDEFF",0.5,"f"
"T",1915,0.84481468787149,"CESDEFF",0.5,"f"
"A",1915,0.0862385596941368,"CESDEFF",0.5,"f"
"L",1915,0.618343951474415,"CESDEFF",0.5,"f"
"M",1915,0.332938735673171,"CESDEFF",0.5,"f"
"T",1920,0.885824149837645,"CESDEFF",0.5,"f"
"A",1920,0.00426369105338634,"CESDEFF",0.5,"f"
"L",1920,0.631985275217256,"CESDEFF",0.5,"f"
"M",1920,0.449354255032507,"CESDEFF",0.5,"f"
"T",1925,0.966847995817018,"CESDEFF",0.5,"f"
"A",1925,0.365528673553219,"CESDEFF",0.5,"f"
"L",1925,0.507700559291084,"CESDEFF",0.5,"f"
"M",1925,0.763642353643701,"CESDEFF",0.5,"f"
"T",1905,0.762272811122209,"CESDEFF",0.5,"m"
"A",1905,0.592723532995463,"CESDEFF",0.5,"m"
"L",1905,0.0506856631116926,"CESDEFF",0.5,"m"
"M",1905,0.844944925930288,"CESDEFF",0.5,"m"
"T",1910,0.887830322927836,"CESDEFF",0.5,"m"
"A",1910,0.557396028970501,"CESDEFF",0.5,"m"
"L",1910,0.00180270253615209,"CESDEFF",0.5,"m"
"M",1910,0.833786281148467,"CESDEFF",0.5,"m"
"T",1915,0.914421326673512,"CESDEFF",0.5,"m"
"A",1915,0.461609773593114,"CESDEFF",0.5,"m"
"L",1915,0.114337265760285,"CESDEFF",0.5,"m"
"M",1915,0.774766877982881,"CESDEFF",0.5,"m"
"T",1920,0.768265423742001,"CESDEFF",0.5,"m"
"A",1920,0.216277782503753,"CESDEFF",0.5,"m"
"L",1920,0.33553386291923,"CESDEFF",0.5,"m"
"M",1920,0.538856256371773,"CESDEFF",0.5,"m"
"T",1925,0.890608436592919,"CESDEFF",0.5,"m"
"A",1925,0.191441529547352,"CESDEFF",0.5,"m"
"L",1925,0.612930331609078,"CESDEFF",0.5,"m"
"M",1925,0.613877237464768,"CESDEFF",0.5,"m"
"T",1905,0.618839174009131,"CESDSLEEP",0.5,"f"
"A",1905,0.541421320150127,"CESDSLEEP",0.5,"f"
"L",1905,0.890452300516895,"CESDSLEEP",0.5,"f"
"M",1905,0.07882230801976,"CESDSLEEP",0.5,"f"
"T",1910,0.254732267995766,"CESDSLEEP",0.5,"f"
"A",1910,0.722332883905382,"CESDSLEEP",0.5,"f"
"L",1910,0.882775659352941,"CESDSLEEP",0.5,"f"
"M",1910,0.419575911089672,"CESDSLEEP",0.5,"f"
"T",1915,0.480084476373498,"CESDSLEEP",0.5,"f"
"A",1915,0.395536803451529,"CESDSLEEP",0.5,"f"
"L",1915,0.697917363420213,"CESDSLEEP",0.5,"f"
"M",1915,0.0695618505196383,"CESDSLEEP",0.5,"f"
"T",1920,0.488219264960538,"CESDSLEEP",0.5,"f"
"A",1920,0.391243813967104,"CESDSLEEP",0.5,"f"
"L",1920,0.741910481500934,"CESDSLEEP",0.5,"f"
"M",1920,0.0284670618111525,"CESDSLEEP",0.5,"f"
"T",1925,0.630915311973593,"CESDSLEEP",0.5,"f"
"A",1925,0.23588553128471,"CESDSLEEP",0.5,"f"
"L",1925,0.805710049976366,"CESDSLEEP",0.5,"f"
"M",1925,0.205859395931881,"CESDSLEEP",0.5,"f"
"T",1905,0.515026747661442,"CESDSLEEP",0.5,"m"
"A",1905,0.00028102350222839,"CESDSLEEP",0.5,"m"
"L",1905,0.330839415897682,"CESDSLEEP",0.5,"m"
"M",1905,0.271175172215214,"CESDSLEEP",0.5,"m"
"T",1910,0.910495189228218,"CESDSLEEP",0.5,"m"
"A",1910,0.0850006171640486,"CESDSLEEP",0.5,"m"
"L",1910,0.488473549814493,"CESDSLEEP",0.5,"m"
"M",1910,0.491697848614007,"CESDSLEEP",0.5,"m"
"T",1915,0.835326945063635,"CESDSLEEP",0.5,"m"
"A",1915,0.139398045238901,"CESDSLEEP",0.5,"m"
"L",1915,0.665527595007477,"CESDSLEEP",0.5,"m"
"M",1915,0.288781063979699,"CESDSLEEP",0.5,"m"
"T",1920,0.73325754279564,"CESDSLEEP",0.5,"m"
"A",1920,0.219373003696285,"CESDSLEEP",0.5,"m"
"L",1920,0.746040010572745,"CESDSLEEP",0.5,"m"
"M",1920,0.215583355451365,"CESDSLEEP",0.5,"m"
"T",1925,0.740323954580925,"CESDSLEEP",0.5,"m"
"A",1925,0.0390668136307721,"CESDSLEEP",0.5,"m"
"L",1925,0.629572436501481,"CESDSLEEP",0.5,"m"
"M",1925,0.436271140171022,"CESDSLEEP",0.5,"m"
"T",1905,0.587362563195988,"CESDHAPPY",0.5,"f"
"A",1905,0.446497780863537,"CESDHAPPY",0.5,"f"
"L",1905,0.783772983350011,"CESDHAPPY",0.5,"f"
"M",1905,0.0244184372314391,"CESDHAPPY",0.5,"f"
"T",1910,0.676795296121847,"CESDHAPPY",0.5,"f"
"A",1910,0.172985789148294,"CESDHAPPY",0.5,"f"
"L",1910,0.599264393637644,"CESDHAPPY",0.5,"f"
"M",1910,0.189139410303694,"CESDHAPPY",0.5,"f"
"T",1915,0.596256356071077,"CESDHAPPY",0.5,"f"
"A",1915,0.0350135730782423,"CESDHAPPY",0.5,"f"
"L",1915,0.34053768864052,"CESDHAPPY",0.5,"f"
"M",1915,0.306577944741067,"CESDHAPPY",0.5,"f"
"T",1920,0.741300343696273,"CESDHAPPY",0.5,"f"
"A",1920,0.0821224556628639,"CESDHAPPY",0.5,"f"
"L",1920,0.450321345354833,"CESDHAPPY",0.5,"f"
"M",1920,0.431151452326577,"CESDHAPPY",0.5,"f"
"T",1925,0.912028212636714,"CESDHAPPY",0.5,"f"
"A",1925,0.249453578002024,"CESDHAPPY",0.5,"f"
"L",1925,0.574264007284097,"CESDHAPPY",0.5,"f"
"M",1925,0.661565063491042,"CESDHAPPY",0.5,"f"
"T",1905,0.134895437547955,"CESDHAPPY",0.5,"m"
"A",1905,0.814153895904699,"CESDHAPPY",0.5,"m"
"L",1905,0.655107052775462,"CESDHAPPY",0.5,"m"
"M",1905,0.679958162511654,"CESDHAPPY",0.5,"m"
"T",1910,0.285890055013048,"CESDHAPPY",0.5,"m"
"A",1910,0.794596251375619,"CESDHAPPY",0.5,"m"
"L",1910,0.614528785796772,"CESDHAPPY",0.5,"m"
"M",1910,0.727803196553179,"CESDHAPPY",0.5,"m"
"T",1915,0.542521838280489,"CESDHAPPY",0.5,"m"
"A",1915,0.639966345683086,"CESDHAPPY",0.5,"m"
"L",1915,0.298259697524633,"CESDHAPPY",0.5,"m"
"M",1915,0.733037180372623,"CESDHAPPY",0.5,"m"
"T",1920,0.738807197353039,"CESDHAPPY",0.5,"m"
"A",1920,0.536983571072592,"CESDHAPPY",0.5,"m"
"L",1920,0.00633048865737915,"CESDHAPPY",0.5,"m"
"M",1920,0.749004828534891,"CESDHAPPY",0.5,"m"
"T",1925,0.82774172542614,"CESDHAPPY",0.5,"m"
"A",1925,0.541606296027692,"CESDHAPPY",0.5,"m"
"L",1925,0.205986164228992,"CESDHAPPY",0.5,"m"
"M",1925,0.794737024465543,"CESDHAPPY",0.5,"m"
"T",1905,0.747229091033781,"CESDLONE",0.5,"f"
"A",1905,0.0808533140066478,"CESDLONE",0.5,"f"
"L",1905,0.553285830049316,"CESDLONE",0.5,"f"
"M",1905,0.333273401393791,"CESDLONE",0.5,"f"
"T",1910,0.623063126387695,"CESDLONE",0.5,"f"
"A",1910,0.151110033021164,"CESDLONE",0.5,"f"
"L",1910,0.241325436828055,"CESDLONE",0.5,"f"
"M",1910,0.405877583806325,"CESDLONE",0.5,"f"
"T",1915,0.57022222009489,"CESDLONE",0.5,"f"
"A",1915,0.595405924353066,"CESDLONE",0.5,"f"
"L",1915,0.236252228067466,"CESDLONE",0.5,"f"
"M",1915,0.712791018190604,"CESDLONE",0.5,"f"
"T",1920,0.780182346173026,"CESDLONE",0.5,"f"
"A",1920,0.627907467021715,"CESDLONE",0.5,"f"
"L",1920,0.0675364144305524,"CESDLONE",0.5,"f"
"M",1920,0.833641619484267,"CESDLONE",0.5,"f"
"T",1925,0.970291950747265,"CESDLONE",0.5,"f"
"A",1925,0.441059389446646,"CESDLONE",0.5,"f"
"L",1925,0.43528032419164,"CESDLONE",0.5,"f"
"M",1925,0.81212135686264,"CESDLONE",0.5,"f"
"T",1905,0.578992668001096,"CESDLONE",0.5,"m"
"A",1905,0.842643514987313,"CESDLONE",0.5,"m"
"L",1905,0.396005625616616,"CESDLONE",0.5,"m"
"M",1905,0.935274681321508,"CESDLONE",0.5,"m"
"T",1910,0.688278910853642,"CESDLONE",0.5,"m"
"A",1910,0.839545780012489,"CESDLONE",0.5,"m"
"L",1910,0.406034236271916,"CESDLONE",0.5,"m"
"M",1910,0.950620376552091,"CESDLONE",0.5,"m"
"T",1915,0.838246826683748,"CESDLONE",0.5,"m"
"A",1915,0.730687904964762,"CESDLONE",0.5,"m"
"L",1915,0.202719271695712,"CESDLONE",0.5,"m"
"M",1915,0.93986698792023,"CESDLONE",0.5,"m"
"T",1920,0.868633387752757,"CESDLONE",0.5,"m"
"A",1920,0.611644012881533,"CESDLONE",0.5,"m"
"L",1920,0.0122575765334222,"CESDLONE",0.5,"m"
"M",1920,0.866802033230953,"CESDLONE",0.5,"m"
"T",1925,0.923963009022298,"CESDLONE",0.5,"m"
"A",1925,0.612302446159406,"CESDLONE",0.5,"m"
"L",1925,0.222194303108049,"CESDLONE",0.5,"m"
"M",1925,0.891891092795201,"CESDLONE",0.5,"m"
"T",1905,0.585971901278621,"CESDSAD",0.5,"f"
"A",1905,0.456313129317072,"CESDSAD",0.5,"f"
"L",1905,0.791822121239541,"CESDSAD",0.5,"f"
"M",1905,0.0324917793397157,"CESDSAD",0.5,"f"
"T",1910,0.43026176616253,"CESDSAD",0.5,"f"
"A",1910,0.463615887935807,"CESDSAD",0.5,"f"
"L",1910,0.734615681072468,"CESDSAD",0.5,"f"
"M",1910,0.143830745993551,"CESDSAD",0.5,"f"
"T",1915,0.473320546597177,"CESDSAD",0.5,"f"
"A",1915,0.417399767899462,"CESDSAD",0.5,"f"
"L",1915,0.715520075820833,"CESDSAD",0.5,"f"
"M",1915,0.0890686405424561,"CESDSAD",0.5,"f"
"T",1920,0.527755068664712,"CESDSAD",0.5,"f"
"A",1920,0.393040335118332,"CESDSAD",0.5,"f"
"L",1920,0.772103851216372,"CESDSAD",0.5,"f"
"M",1920,0.00980549412532567,"CESDSAD",0.5,"f"
"T",1925,0.786924488628032,"CESDSAD",0.5,"f"
"A",1925,0.0930793775548745,"CESDSAD",0.5,"f"
"L",1925,0.803806886412536,"CESDSAD",0.5,"f"
"M",1925,0.380754197632815,"CESDSAD",0.5,"f"
"T",1905,0.154284482207829,"CESDSAD",0.5,"m"
"A",1905,0.791204649054627,"CESDSAD",0.5,"m"
"L",1905,0.621754950439651,"CESDSAD",0.5,"m"
"M",1905,0.67301198242236,"CESDSAD",0.5,"m"
"T",1910,0.531169134293956,"CESDSAD",0.5,"m"
"A",1910,0.811696661217727,"CESDSAD",0.5,"m"
"L",1910,0.47714049835415,"CESDSAD",0.5,"m"
"M",1910,0.855932620567077,"CESDSAD",0.5,"m"
"T",1915,0.839429717510891,"CESDSAD",0.5,"m"
"A",1915,0.604934129428176,"CESDSAD",0.5,"m"
"L",1915,0.0762204539669777,"CESDSAD",0.5,"m"
"M",1915,0.846520170815518,"CESDSAD",0.5,"m"
"T",1920,0.865158410439314,"CESDSAD",0.5,"m"
"A",1920,0.354886884574758,"CESDSAD",0.5,"m"
"L",1920,0.266518779747279,"CESDSAD",0.5,"m"
"M",1920,0.68492200112975,"CESDSAD",0.5,"m"
"T",1925,0.888701932763812,"CESDSAD",0.5,"m"
"A",1925,0.206446638601793,"CESDSAD",0.5,"m"
"L",1925,0.596203323266115,"CESDSAD",0.5,"m"
"M",1925,0.622065779808033,"CESDSAD",0.5,"m"
"T",1905,0.825504899370021,"CESDGOING",0.5,"f"
"A",1905,0.307817292077598,"CESDGOING",0.5,"f"
"L",1905,0.810293118754738,"CESDGOING",0.5,"f"
"M",1905,0.204781233020952,"CESDGOING",0.5,"f"
"T",1910,0.931074447938575,"CESDGOING",0.5,"f"
"A",1910,0.00384453110554811,"CESDGOING",0.5,"f"
"L",1910,0.590280516428194,"CESDGOING",0.5,"f"
"M",1910,0.435034068969635,"CESDGOING",0.5,"f"
"T",1915,0.864471417473637,"CESDGOING",0.5,"f"
"A",1915,0.0283910470869375,"CESDGOING",0.5,"f"
"L",1915,0.572877203496701,"CESDGOING",0.5,"f"
"M",1915,0.385379760995211,"CESDGOING",0.5,"f"
"T",1920,0.7310558599657,"CESDGOING",0.5,"f"
"A",1920,0.286863201999971,"CESDGOING",0.5,"f"
"L",1920,0.811948835841092,"CESDGOING",0.5,"f"
"M",1920,0.167125914168873,"CESDGOING",0.5,"f"
"T",1925,0.794500691662198,"CESDGOING",0.5,"f"
"A",1925,0.14591956542504,"CESDGOING",0.5,"f"
"L",1925,0.863489682419679,"CESDGOING",0.5,"f"
"M",1925,0.35239861671748,"CESDGOING",0.5,"f"
"T",1905,0.816295779895528,"CESDGOING",0.5,"m"
"A",1905,0.24812714023452,"CESDGOING",0.5,"m"
"L",1905,0.297917294000551,"CESDGOING",0.5,"m"
"M",1905,0.615699948621499,"CESDGOING",0.5,"m"
"T",1910,0.795826375827682,"CESDGOING",0.5,"m"
"A",1910,0.152083938808675,"CESDGOING",0.5,"m"
"L",1910,0.34916623069984,"CESDGOING",0.5,"m"
"M",1910,0.487859191000014,"CESDGOING",0.5,"m"
"T",1915,0.898306404581869,"CESDGOING",0.5,"m"
"A",1915,0.377117355057413,"CESDGOING",0.5,"m"
"L",1915,0.188679722350265,"CESDGOING",0.5,"m"
"M",1915,0.704095295727809,"CESDGOING",0.5,"m"
"T",1920,0.908566705718041,"CESDGOING",0.5,"m"
"A",1920,0.633438974219724,"CESDGOING",0.5,"m"
"L",1920,0.0191449809670664,"CESDGOING",0.5,"m"
"M",1920,0.902214606987608,"CESDGOING",0.5,"m"
"T",1925,0.86631854537304,"CESDGOING",0.5,"m"
"A",1925,0.728464249291331,"CESDGOING",0.5,"m"
"L",1925,0.0539696824619531,"CESDGOING",0.5,"m"
"M",1925,0.931405432110835,"CESDGOING",0.5,"m"
"T",1905,0.735429131854286,"CESDENJOY",0.5,"f"
"A",1905,0.274323549742468,"CESDENJOY",0.5,"f"
"L",1905,0.721962869715407,"CESDENJOY",0.5,"f"
"M",1905,0.182366001042064,"CESDENJOY",0.5,"f"
"T",1910,0.84660119667406,"CESDENJOY",0.5,"f"
"A",1910,0.172051303222071,"CESDENJOY",0.5,"f"
"L",1910,0.361179318718096,"CESDENJOY",0.5,"f"
"M",1910,0.526649787691069,"CESDENJOY",0.5,"f"
"T",1915,0.80730935933224,"CESDENJOY",0.5,"f"
"A",1915,0.222393225728055,"CESDENJOY",0.5,"f"
"L",1915,0.286089485454059,"CESDENJOY",0.5,"f"
"M",1915,0.545761408692997,"CESDENJOY",0.5,"f"
"T",1920,0.837825198428309,"CESDENJOY",0.5,"f"
"A",1920,0.470429043726716,"CESDENJOY",0.5,"f"
"L",1920,0.131344363007802,"CESDENJOY",0.5,"f"
"M",1920,0.752207981937349,"CESDENJOY",0.5,"f"
"T",1925,0.921738174296958,"CESDENJOY",0.5,"f"
"A",1925,0.6502340641958,"CESDENJOY",0.5,"f"
"L",1925,0.182253278496041,"CESDENJOY",0.5,"f"
"M",1925,0.914035631260971,"CESDENJOY",0.5,"f"
"T",1905,0.160039844967099,"CESDENJOY",0.5,"m"
"A",1905,0.859812741775795,"CESDENJOY",0.5,"m"
"L",1905,0.680562610237184,"CESDENJOY",0.5,"m"
"M",1905,0.727354264629114,"CESDENJOY",0.5,"m"
"T",1910,0.396323729118632,"CESDENJOY",0.5,"m"
"A",1910,0.882808067380511,"CESDENJOY",0.5,"m"
"L",1910,0.633184101104762,"CESDENJOY",0.5,"m"
"M",1910,0.845612327244094,"CESDENJOY",0.5,"m"
"T",1915,0.599112008020778,"CESDENJOY",0.5,"m"
"A",1915,0.811762666335656,"CESDENJOY",0.5,"m"
"L",1915,0.434412776087704,"CESDENJOY",0.5,"m"
"M",1915,0.887936941417412,"CESDENJOY",0.5,"m"
"T",1920,0.753961666759246,"CESDENJOY",0.5,"m"
"A",1920,0.712189124548917,"CESDENJOY",0.5,"m"
"L",1920,0.170651245759789,"CESDENJOY",0.5,"m"
"M",1920,0.879557268942624,"CESDENJOY",0.5,"m"
"T",1925,0.758521120024073,"CESDENJOY",0.5,"m"
"A",1925,0.471019062163298,"CESDENJOY",0.5,"m"
"L",1925,0.214055343121169,"CESDENJOY",0.5,"m"
"M",1925,0.712683190116901,"CESDENJOY",0.5,"m"
"T",1905,0.821750642639154,"SRM",0.5,"f"
"A",1905,0.587970788308394,"SRM",0.5,"f"
"L",1905,0.0081785148383589,"SRM",0.5,"f"
"M",1905,0.872731433957225,"SRM",0.5,"f"
"T",1910,0.690170999946867,"SRM",0.5,"f"
"A",1910,0.85175633754172,"SRM",0.5,"f"
"L",1910,0.417053064037581,"SRM",0.5,"f"
"M",1910,0.96062816422608,"SRM",0.5,"f"
"T",1915,0.509221992171057,"SRM",0.5,"f"
"A",1915,0.957349256810336,"SRM",0.5,"f"
"L",1915,0.636616471813431,"SRM",0.5,"f"
"M",1915,0.954372445904829,"SRM",0.5,"f"
"T",1920,0.697655981271873,"SRM",0.5,"f"
"A",1920,0.905337345357897,"SRM",0.5,"f"
"L",1920,0.404241391970178,"SRM",0.5,"f"
"M",1920,0.986688990426979,"SRM",0.5,"f"
"T",1925,0.869966716534086,"SRM",0.5,"f"
"A",1925,0.824647949229908,"SRM",0.5,"f"
"L",1925,0.0389190944711183,"SRM",0.5,"f"
"M",1925,0.992729835668567,"SRM",0.5,"f"
"T",1905,0.229710104196472,"SRM",0.5,"m"
"A",1905,0.294519032519673,"SRM",0.5,"m"
"L",1905,0.415751930255439,"SRM",0.5,"m"
"M",1905,0.0992182727618158,"SRM",0.5,"m"
"T",1910,0.279469061956197,"SRM",0.5,"m"
"A",1910,0.108857965073221,"SRM",0.5,"m"
"L",1910,0.284881176835006,"SRM",0.5,"m"
"M",1910,0.050153791904724,"SRM",0.5,"m"
"T",1915,0.248126318980574,"SRM",0.5,"m"
"A",1915,0.734354383092136,"SRM",0.5,"m"
"L",1915,0.578072355722554,"SRM",0.5,"m"
"M",1915,0.665058127459741,"SRM",0.5,"m"
"T",1920,0.239004800202794,"SRM",0.5,"m"
"A",1920,0.905469763610903,"SRM",0.5,"m"
"L",1920,0.733803008882416,"SRM",0.5,"m"
"M",1920,0.755669497288087,"SRM",0.5,"m"
"T",1925,0.235804184399448,"SRM",0.5,"m"
"A",1925,0.903255581815878,"SRM",0.5,"m"
"L",1925,0.690284041371607,"SRM",0.5,"m"
"M",1925,0.688107258441294,"SRM",0.5,"m"
"T",1905,0.622424017192736,"PASTMEM",0.5,"f"
"A",1905,0.724574115679798,"PASTMEM",0.5,"f"
"L",1905,0.260566995903389,"PASTMEM",0.5,"f"
"M",1905,0.869860198211325,"PASTMEM",0.5,"f"
"T",1910,0.481033039753751,"PASTMEM",0.5,"f"
"A",1910,0.839895720123904,"PASTMEM",0.5,"f"
"L",1910,0.536917708789467,"PASTMEM",0.5,"f"
"M",1910,0.853409376529506,"PASTMEM",0.5,"f"
"T",1915,0.289565717714745,"PASTMEM",0.5,"f"
"A",1915,0.869759210714308,"PASTMEM",0.5,"f"
"L",1915,0.675458019573859,"PASTMEM",0.5,"f"
"M",1915,0.793047451751483,"PASTMEM",0.5,"f"
"T",1920,0.562108409297605,"PASTMEM",0.5,"f"
"A",1920,0.79353091661872,"PASTMEM",0.5,"f"
"L",1920,0.389792889818271,"PASTMEM",0.5,"f"
"M",1920,0.839948887803961,"PASTMEM",0.5,"f"
"T",1925,0.860833711787611,"PASTMEM",0.5,"f"
"A",1925,0.635785628543432,"PASTMEM",0.5,"f"
"L",1925,0.141694559658845,"PASTMEM",0.5,"f"
"M",1925,0.871219169661996,"PASTMEM",0.5,"f"
"T",1905,0.3400472571533,"PASTMEM",0.5,"m"
"A",1905,0.923743890304494,"PASTMEM",0.5,"m"
"L",1905,0.62326133882312,"PASTMEM",0.5,"m"
"M",1905,0.870018233628411,"PASTMEM",0.5,"m"
"T",1910,0.499477833453347,"PASTMEM",0.5,"m"
"A",1910,0.900720970748496,"PASTMEM",0.5,"m"
"L",1910,0.586125530978294,"PASTMEM",0.5,"m"
"M",1910,0.90750394522008,"PASTMEM",0.5,"m"
"T",1915,0.364090446562795,"PASTMEM",0.5,"m"
"A",1915,0.958202970653131,"PASTMEM",0.5,"m"
"L",1915,0.728881093923139,"PASTMEM",0.5,"m"
"M",1915,0.886751363447072,"PASTMEM",0.5,"m"
"T",1920,0.388401934225579,"PASTMEM",0.5,"m"
"A",1920,0.971750720061968,"PASTMEM",0.5,"m"
"L",1920,0.692778500582701,"PASTMEM",0.5,"m"
